iteration	timestamp	model	run_id	decision	commit	summary	findings
23	2026-03-20T08:02:51+00:00	gpt-5.4	pgolf_0023	revert	00c83ec00cbdbc8247f4e8114ae6f85ea48e9366	Revert: pgolf_0023 is a trustworthy audit-only run, but it does not justify keeping commit 00c83ec00cbdbc8247f4e8114ae6f85ea48e9366. The primary exact round-trip metric regressed versus the best prior kept result pgolf_0014, moving from val_bpb 1.58718007 / val_loss 2.67988706 at 11300604 bytes to val_bpb 1.59124586 / val_loss 2.68675198 at 11301034 bytes, and the new fp32-scale selector audit reported positive:0 with selected:none.	The remote log, metrics.json, candidate manifest, and run metadata are internally consistent: the run used the intended env for the bounded 19-tensor audit, stayed on commit 00c83ec, kept the existing pgolf_0014 export path intact, and produced matching final exact metrics and size_bytes. Trustworthiness looks acceptable because this remains a serializer-only comparison and training progress stayed in-family with the kept pgolf_0014 run (step 355 at 600513ms here versus step 358 at 600686ms in pgolf_0014), so the worse result is not plausibly explained by extra optimization time or a harness mismatch. More importantly, pre-review explicitly said this audit should only earn value if it surfaced a credible positive winner for a follow-up ablation; instead the key audit signal falsified the hypothesis: Int8 fp32-scale selector audit logged candidates:19, positive:0, selected:none, selected_extra_scale:0, and the top candidate tok_emb.weight had gain=0.00000000 while the remaining top entries were negative. Since the patch does not change the live serialized artifact and the audit found no strictly positive tensor to promote, there is no clearly worthwhile retained change here, and the accompanying metric movement is both in the wrong direction and not attributable to an improvement from the patch itself.
24	2026-03-20T08:18:36+00:00	gpt-5.4	pgolf_0024	revert	61c2f6f044db7cb9490e7fade77c78e5453a6cdf	Revert: pgolf_0024 is an internally consistent audit-only run, but it does not support keeping commit 61c2f6f044db7cb9490e7fade77c78e5453a6cdf. The primary exact round-trip metric regressed versus the best prior kept result pgolf_0014, moving from val_bpb 1.58718007 / val_loss 2.67988706 to val_bpb 1.58946790 / val_loss 2.68374997, and the new grouped-scale audit falsified the hypothesis with positive:0 and selected:none.	The run artifacts are internally consistent and broadly trustworthy as a comparison: the remote log ran on commit 61c2f6f044db7cb9490e7fade77c78e5453a6cdf with the candidate manifest env, metrics.json matches the final exact metric line and size_bytes exactly, the existing live export audits stayed stable (`Int8 auto-keep selector` still selected `blocks.0.mlp.proj.weight`, `Int8 scale storage` still reported `fp32_tensors:8` and `fp32_bytes:16384`), and training progress stayed in-family for this serializer-only experiment (`stopping_early: wallclock_cap` at step 357 / 601531ms). But the new evidence that was supposed to justify the change did not materialize: the bounded grouped-scale audit reported `group_size:128 candidates:19 positive:0 selected:none estimated_gain:0.00000000 extra_payload:0`, with top candidates all at zero gain, which directly matches the manifest's falsification condition rather than its support condition. Because this patch does not change the live serialized artifact, it should not get credit for metric movement on its own; the only useful outcome would have been a credible positive audit winner for a later real ablation, and it found none. On top of that, the recorded metric is worse than the best kept baseline at nearly the same size (pgolf_0014: 1.58718007 / 2.67988706 at 11300604 bytes; pgolf_0024: 1.58946790 / 2.68374997 at 11302754 bytes). That makes this neither an improvement nor a clearly worthwhile retained change, so it should be reverted.
25	2026-03-20T09:09:46+00:00	gpt-5.4	pgolf_0025	infra_retry	24701c0a69bd589860dc2b524cfa489746d90bb7	infrastructure unavailable; retry scheduled	remote worker reported that CUDA is required
26	2026-03-20T09:25:00+00:00	gpt-5.4	pgolf_0026	revert	55382d9ce002e0dbe24af3439154ae8388032f4e	Revert: pgolf_0026 is a trustworthy audit-only run, but it does not justify keeping commit 55382d9ce002e0dbe24af3439154ae8388032f4e. The primary exact round-trip metric regressed versus the best prior kept result pgolf_0014, moving from val_bpb 1.58718007 / val_loss 2.67988706 at 11300604 bytes to val_bpb 1.58902842 / val_loss 2.68300792 at 11307145 bytes, and the new axis audit did not produce a meaningfully positive winner.	The run artifacts are internally consistent and broadly trustworthy: the remote log ran on commit 55382d9 with the manifest env, metrics.json matches the final exact metric line and size_bytes exactly, training progress stayed in-family for this serializer-only comparison (step 356 at 600141ms here versus step 358 at 600686ms in kept pgolf_0014), and the existing live export signals remained stable with `Int8 auto-keep selector` still choosing `blocks.0.mlp.proj.weight` and `Int8 scale storage` still reporting `fp32_tensors:8` and `fp32_bytes:16384`. The new audit also hit some expected structural checks: `Int8 axis audit` reported `candidates:9`, selected a `.mlp.fc.weight` tensor, and `Int8 axis audit payloads` showed the expected smaller axis-1 payload (`axis0:4737024` vs `axis1:4727808`). But the evidence quality is weak where it matters: the only reported positive winner was `blocks.5.mlp.fc.weight` with `estimated_gain:0.00000001`, while the rest of the top candidates were logged at `0.00000000`. That does not meet the manifest's intended standard of a real positive gap; it is effectively numerical noise, not a credible justification for a future live axis-1 export. Because this patch does not change the live serialized artifact, it should only be kept if the audit yields clear actionable evidence, and it did not. On top of that, the recorded exact metric is worse than the best kept baseline at slightly larger size, so this is neither an improvement nor a clearly worthwhile retained change.
27	2026-03-20T09:25:18+00:00	gpt-5.4	pgolf_0027	infra_retry	ef589c4addaeb6540dbd73f45d14afe91d98db8f	infrastructure unavailable; retry scheduled	remote worker reported that CUDA is required
28	2026-03-20T09:25:34+00:00	gpt-5.4	pgolf_0028	infra_retry	cce89a20d850e577da92a2c90bcfd0678bfb81a7	infrastructure unavailable; retry scheduled	remote worker reported that CUDA is required
29	2026-03-20T09:26:16+00:00	gpt-5.4	pgolf_0029	infra_retry	c40fae1651f60764b490d1684107916374d06f8f	infrastructure unavailable; retry scheduled	remote worker reported that CUDA is required
30	2026-03-20T09:31:40+00:00	gpt-5.4	pgolf_0030	error	8e750def93f714b897eeede2953826b5aec75a27	experiment failed	remote training failed for run_id=pgolf_0030 with exit code 255
31	2026-03-20T10:07:27+00:00	gpt-5.4	pgolf_0031	infra_retry	35005a450ce6cc1e46d65f30491560450a9ae863	infrastructure unavailable; retry scheduled	remote worker reported that CUDA is required
32	2026-03-20T10:07:43+00:00	gpt-5.4	pgolf_0032	infra_retry	dddda7e12ffa0ce8e58402a0a832f9d9bb48bcd0	infrastructure unavailable; retry scheduled	remote worker reported that CUDA is required
33	2026-03-20T10:16:59+00:00	gpt-5.4	pgolf_0033	error	ed3efc914de3c1702513268821b93ccc36dd41bc	experiment failed	remote training failed for run_id=pgolf_0033 with exit code 255
34	2026-03-20T10:17:10+00:00	gpt-5.4	pgolf_0034	error	6df12d9aa27ff809a231a1738cfaad729857215f	experiment failed	remote training failed for run_id=pgolf_0034 with exit code 255
35	2026-03-20T10:17:22+00:00	gpt-5.4	pgolf_0035	error	fb885f9348e1717ccc6c76d7237de3da3ef3fd76	experiment failed	remote training failed for run_id=pgolf_0035 with exit code 255
36	2026-03-20T10:51:24+00:00	gpt-5.4	pgolf_0036	revert	8100d37850e800b3ca2ebf82c2072320914c91da	Revert: pgolf_0036 is a trustworthy audit-only run, but it does not justify keeping commit 8100d37850e800b3ca2ebf82c2072320914c91da. The primary exact round-trip metric regressed versus the best prior kept result pgolf_0014, moving from val_bpb 1.58718007 / val_loss 2.67988706 at 11300604 bytes to val_bpb 1.58869042 / val_loss 2.68243722 at 11317744 bytes.	The run artifacts are internally consistent and broadly trustworthy: the remote log ran on commit 8100d37850e800b3ca2ebf82c2072320914c91da with the manifest env, metrics.json matches the final exact metric line and size_bytes exactly, training progress stayed in-family for this serializer-only comparison (stopping at step 357 / 600769ms), and the existing live export signals remained stable with Int8 auto-keep selector still choosing blocks.0.mlp.proj.weight and Int8 scale storage still reporting fp32_tensors:8 and fp32_bytes:16384. The new audit also hit its intended structural checks and is informative: Int8 min-clip audit reported tensors:9 rows:9216 baseline_floor_rows:9216 baseline_floor_frac:1.0, and the candidate summaries showed 0.25000, 0.50000, and 0.75000 all improving every audited row and tensor, with 0.25000 clearing the configured family thresholds most strongly (selected_rows:9216, selected_tensors:9, selected_mean_tensor_gain:0.05155049). But this patch does not change the live serialized artifact; its value depends on either improving the main metric anyway or producing evidence strong enough to outweigh a regression. The observed final exact metric moved the wrong way relative to the kept baseline by about 0.00151035 val_bpb and 0.00255016 val_loss, with size also slightly larger, so this is not a real improvement or a clearly worthwhile retained change. The audit result is actionable for a later live ablation, but the current commit itself should be reverted.
37	2026-03-20T11:10:09+00:00	gpt-5.4	pgolf_0037	keep	d302a085be82f2f59ef6bfbd228c5e8579d9d369	Keep: pgolf_0037 looks trustworthy and improves the best prior kept exact round-trip result from val_bpb 1.58718007 / val_loss 2.67988706 to val_bpb 1.58521499 / val_loss 2.67656911 while staying under the 16000000-byte cap at 12221610 bytes.	The remote log, metrics.json, and run metadata are internally consistent for commit d302a085be82f2f59ef6bfbd228c5e8579d9d369 with the intended env override INT8_MIN_CLIP_NAME_VALUE_OVERRIDES=.mlp.fc.weight:0.25. Trustworthiness is strong for this serializer-only comparison: training progress stayed effectively identical to kept pgolf_0014 (step 358 at 601032ms here versus step 358 at 600686ms there), Int8 auto-keep selector remained pinned to blocks.0.mlp.proj.weight with candidates:19, Int8 scale storage still reported fp32_tensors:8 and fp32_bytes:16384, and the new Int8 min-clip override log reported tensors:9 baseline:1.00000 overrides:.mlp.fc.weight:0.25000 exactly as intended. The final exact metric improved by 0.00196508 val_bpb and 0.00331795 val_loss versus pgolf_0014, which is a meaningful gain in the context of this frontier. Total submission size int8+zlib did rise materially from 11300604 to 12221610 bytes despite unchanged tensor counts and dtypes, which misses the manifest's 'size stays close' expectation, but that increase is plausibly an honest compressibility tradeoff from changing the live quantized values on nine tensors rather than evidence of selector drift, extra optimization time, or another confound. With the run still comfortably under the size cap and the core comparison remaining clean, this looks like a real improvement worth keeping.
38	2026-03-20T11:44:05+00:00	gpt-5.4	pgolf_0038	error	39934713dd32ddd2ca988fb076a9b7fb15f8122e	experiment failed	missing final metric line in /root/parameter-golf/remote_logs/pgolf_0038.log
39	2026-03-20T12:33:09+00:00	gpt-5.4	pgolf_0039	revert	f2a36b347436dedffc5c156441d0ef2e54639d08	Revert: pgolf_0039 is a trustworthy audit-only run, but it does not justify keeping commit f2a36b347436dedffc5c156441d0ef2e54639d08. The primary exact round-trip metric regressed versus the best prior kept result pgolf_0037, moving from val_bpb 1.58521499 / val_loss 2.67656911 at 12221610 bytes to val_bpb 1.58762650 / val_loss 2.68064084 at 12219814 bytes.	The run artifacts are internally consistent and broadly trustworthy: the remote log ran on commit f2a36b347436dedffc5c156441d0ef2e54639d08 with the manifest env, metrics.json matches the final exact metric line and size_bytes exactly, and the pre-existing live-path export signals remained pinned to pgolf_0037 with Int8 auto-keep selector still choosing blocks.0.mlp.proj.weight from 19 candidates, Int8 scale storage still reporting fp32_tensors:8 and fp32_bytes:16384, and Int8 min-clip override still reporting tensors:9 baseline:1.00000 overrides:.mlp.fc.weight:0.25000. Training progress was slightly slower than pgolf_0037 (step 355 at 600016ms here versus step 358 at 601032ms there), but that small audit overhead is expected and not large enough to explain the worse final exact metrics. Where the experiment matters, the new audit cleanly falsified the proposed follow-up: Int8 clip sweep audit reported baseline:99.99984 tensors:9 candidates:4 selected:none, the threshold summary stayed at selected_improved:0 selected_mean_gain:0.00000000 selected_median_gain:0.00000000, and every ranked candidate was negative versus baseline, from 99.99000 mean=-0.00000710 / median=-0.00000744 through 99.00000 mean=-0.00236631 / median=-0.00251961. Because this patch is audit-only, preserving it would require either a real main-metric win anyway or clearly worthwhile retained evidence for a future live ablation. It delivered neither: the exact metric regressed by about 0.00241151 val_bpb and 0.00407173 val_loss versus pgolf_0037, and the audit result says lower clip percentiles for the nine still-quantized .mlp.fc.weight tensors are not justified under the current export stack.
40	2026-03-20T12:48:18+00:00	gpt-5.4	pgolf_0040	revert	c65fbdeea6ed6a2621fc4a0c61e4b7247a08465d	Revert: pgolf_0040 is a trustworthy audit-only run, but it does not justify keeping commit c65fbdeea6ed6a2621fc4a0c61e4b7247a08465d. The primary exact round-trip metric regressed versus the best prior kept result pgolf_0037, moving from val_bpb 1.58521499 to 1.58627619 and from val_loss 2.67656911 to 2.67836091, with size also slightly larger at 12226849 bytes versus 12221610 bytes.	The run artifacts are internally consistent and trustworthy: the remote log ran on commit c65fbdeea6ed6a2621fc4a0c61e4b7247a08465d with the manifest env, metrics.json matches the final exact metric line and size_bytes exactly, and training progress stayed in-family for this serializer-only comparison at step 357 / 600951ms, close to the kept pgolf_0037 run. The pre-existing live-path export signals also remained pinned to pgolf_0037 as required, with Int8 auto-keep selector still reporting candidates:19 and selected:blocks.0.mlp.proj.weight, Int8 scale storage still reporting fp32_tensors:8 and fp32_bytes:16384, and Int8 min-clip override still reporting tensors:9 baseline:1.00000 overrides:.mlp.fc.weight:0.25000. Where the new audit mattered, it cleanly falsified the proposed follow-up rather than supporting it: Int8 fp32-scale audit reported tensors:9 selected:none, the threshold summary stayed below every configured gate with selected_improved:0, selected_mean_gain:-0.00000097, and selected_median_gain:-0.00000098, and every ranked candidate gain was slightly negative versus baseline. Because this patch leaves the live serialized artifact unchanged, keeping it would require either a real frontier metric win anyway or clearly worthwhile retained evidence for a future live ablation. It delivered neither: the exact round-trip result is worse than pgolf_0037, size increased slightly, and the audit says fp32 row scales for the nine still-quantized .mlp.fc.weight tensors are not justified under the current export stack.
41	2026-03-20T13:04:01+00:00	gpt-5.4	pgolf_0041	keep	6e5a81d6751d67706c9234011c14a256b3578cc0	Keep: pgolf_0041 is trustworthy, improves the best prior kept exact round-trip result from val_bpb 1.58521499 / val_loss 2.67656911 to val_bpb 1.58450676 / val_loss 2.67537328, and also delivers a strong, clearly positive audit result for the nine kept c_v.weight tensors.	The run artifacts are internally consistent: the remote log ran on commit 6e5a81d6751d67706c9234011c14a256b3578cc0 with the manifest env, metrics.json matches the final exact metric line and size_bytes exactly, and training progress stayed effectively identical to kept pgolf_0037 at step 358 / 601072ms versus step 358 / 601032ms, so the comparison is not explained by extra optimization time or a harness mismatch. The existing live-path export signals also stayed in-family, with Int8 auto-keep selector still choosing blocks.0.mlp.proj.weight from 19 candidates, Int8 scale storage still reporting fp32_tensors:8 and fp32_bytes:16384, and Int8 min-clip override still reporting tensors:9 baseline:1.00000 overrides:.mlp.fc.weight:0.25000. The primary exact round-trip metric improved modestly but consistently versus pgolf_0037 by 0.00070823 val_bpb and 0.00119583 val_loss, while size increased only slightly from 12221610 to 12230961 bytes. More importantly for this audit-only commit, the new kept-float fp32 audit strongly supports the intended follow-up rather than falsifying it: it matched all 9 c_v.weight tensors, reported selected:fp32 with extra_raw_bytes:2359296 exactly matching 9 x 262144 bytes, and cleared the configured family thresholds comfortably with selected_improved:9, selected_mean_gain:0.00017583, and selected_median_gain:0.00017593. Unlike recent reverted audit-only runs that ended in selected:none or numerically tiny gains, this is clear family-wide evidence on top of the exact current pgolf_0037 stack, so the commit is a clearly worthwhile retained change even aside from the modest frontier metric improvement.
42	2026-03-20T13:24:12+00:00	gpt-5.4	pgolf_0042	keep	71e6446edc75ffec6117d4b627efdd5b7833fd48	Keep: pgolf_0042 looks trustworthy and improves the best prior kept exact round-trip result from val_bpb 1.58450676 / val_loss 2.67537328 to val_bpb 1.58402850 / val_loss 2.67456578 while remaining under the 16000000-byte cap at 14437856 bytes.	The run artifacts are internally consistent: the remote log ran on commit 71e6446edc75ffec6117d4b627efdd5b7833fd48 with the manifest env, metrics.json matches the final exact metric line and size_bytes exactly, and training progress stayed effectively identical to kept pgolf_0041 at step 358 / 600966ms versus step 358 / 601072ms, so the improvement is not explained by extra optimization time or a harness mismatch. The established live-path export signals also remained pinned as expected, with Int8 auto-keep selector still choosing blocks.0.mlp.proj.weight from 19 candidates, Int8 scale storage still reporting fp32_tensors:8 and fp32_bytes:16384, and Int8 min-clip override still reporting tensors:9 baseline:1.00000 overrides:.mlp.fc.weight:0.25000. The new live change hit its exact verification targets: Kept float storage reported extra_fp32_tensors:9 and extra_fp32_extra_bytes:2359296 for patterns:c_v.weight, confirming that only the nine already-kept c_v.weight tensors were promoted from fp16 passthrough to fp32. The metric gain versus pgolf_0041 is modest but real and consistent on both tracked metrics, improving by 0.00047826 val_bpb and 0.00080750 val_loss; size rose by 2206895 bytes, which is the expected tradeoff for this live precision increase and still leaves 1562144 bytes of headroom under the cap. apply_failure.json references older candidate_0182 merge noise and does not match the successful run, so it should not be treated as evidence against this result.
43	2026-03-20T14:00:10+00:00	gpt-5.4	pgolf_0043	revert	e9b6b5a81f5f8c9163d4f1bd3be202507ae6c32d	Revert: pgolf_0043 is an internally consistent, trustworthy audit-only run, but it regresses the best prior kept exact round-trip result from val_bpb 1.58402850 / val_loss 2.67456578 to val_bpb 1.58458439 / val_loss 2.67550437 at a slightly larger 14449792-byte submission, so it does not clear the bar for retention.	The artifacts line up cleanly: the remote log ran commit e9b6b5a81f5f8c9163d4f1bd3be202507ae6c32d with the manifest env, metrics.json matches the final exact metric line and size exactly, and training progress stayed effectively identical to kept pgolf_0042 at step 358 / 600831ms versus step 358 / 600966ms, so the worse result is not explained by extra optimization time or harness drift. The established live-path signals also remained pinned as expected, with Int8 auto-keep selector still choosing blocks.0.mlp.proj.weight from 19 candidates, Int8 scale storage still reporting fp32_tensors:8 and fp32_bytes:16384, Int8 min-clip override still reporting tensors:9 baseline:1.00000 overrides:.mlp.fc.weight:0.25000, and Kept float storage still reporting extra_fp32_tensors:9 and extra_fp32_extra_bytes:2359296 for c_v.weight. Where the new audit matters, it does not justify keeping the commit: Int8 current-path keep audit reported selected:none with selected_rank:36 for the best focused .mlp.fc.weight tensor, so the focused family failed the explicit global-rank gate even though focused_improved:9, focused_mean_gain:0.01699553, and focused_best_gain:0.01778331 were positive. The audit candidate count was also 45 rather than the candidate manifest's expected 27, which weakens the case that this run cleanly validated the hypothesized ranking behavior. Because this patch is audit-only, keeping it would require either a frontier metric win anyway or clearly worthwhile retained evidence for a next live ablation. It delivered neither.
44	2026-03-20T15:42:26+00:00	gpt-5.4	pgolf_0044	revert	37c2c62853a91d2db41bc7d9c0aa4835b309a37e	Revert: pgolf_0044 is a trustworthy audit-only run, but it regresses the best prior kept exact round-trip result from val_bpb 1.58402850 / val_loss 2.67456578 to val_bpb 1.58465263 / val_loss 2.67561959 at a slightly larger 14444955-byte submission, so it does not clear the bar for retention.	The artifacts are internally consistent: the remote log ran commit 37c2c62853a91d2db41bc7d9c0aa4835b309a37e with the manifest env, metrics.json matches the final exact metric line and size exactly, and training progress stayed effectively identical to kept pgolf_0042 at step 358 / 601635ms versus step 358 / 600966ms, so the regression is not explained by extra optimization time or a harness mismatch. The established live-path export signals also stayed pinned as required, with Int8 auto-keep selector still reporting candidates:19 and selected:blocks.0.mlp.proj.weight, Int8 scale storage still reporting fp32_tensors:8 and fp32_bytes:16384, Int8 min-clip override still reporting tensors:9 baseline:1.00000 overrides:.mlp.fc.weight:0.25000, and Kept float storage still reporting extra_fp32_tensors:9 and extra_fp32_extra_bytes:2359296 for c_v.weight. The new audit itself is strong and supports the candidate hypothesis mechanically: it audited the same selected auto-kept tensor on the fp16 passthrough path, reported baseline_store_dtype:float16, promoted_store_dtype:float32, gain:0.00017628 which is comfortably above the 0.00005000 threshold, and showed the exact promoted artifact would remain feasible at promoted_submission:15421801 with remaining_after:578199. But this commit leaves the live artifact unchanged and still moved the frontier metric the wrong way by 0.00062413 val_bpb and 0.00105381 val_loss while increasing total submission size by 7099 bytes versus pgolf_0042. That makes it useful evidence for a follow-up live ablation, not a clearly worthwhile retained change on its own.
45	2026-03-20T15:57:28+00:00	gpt-5.4	pgolf_0045	revert	0994e0f65e02f21437fc9262dfbeff6d60b434c5	Revert: pgolf_0045 is a trustworthy audit-only run, but it regresses the best prior kept exact round-trip result from val_bpb 1.58402850 / val_loss 2.67456578 to val_bpb 1.58698388 / val_loss 2.67955581 at a slightly larger 14441300-byte submission, so it does not clear the bar for retention.	The artifacts are internally consistent: the remote log ran commit 0994e0f65e02f21437fc9262dfbeff6d60b434c5 with the manifest env, metrics.json matches the final exact metric line and size exactly, and training progress stayed effectively in-family with kept pgolf_0042, reaching step 356 at 600900ms versus step 358 at 600966ms in pgolf_0042, so the worse result is not explained by extra optimization time or a harness mismatch. The established live-path signals also stayed pinned as required, with Int8 auto-keep selector still reporting candidates:19 and selected:blocks.0.mlp.proj.weight, Int8 scale storage still reporting fp32_tensors:8 and fp32_bytes:16384, Int8 min-clip override still reporting tensors:9 baseline:1.00000 overrides:.mlp.fc.weight:0.25000, and Kept float storage still reporting extra_fp32_tensors:9 and extra_fp32_extra_bytes:2359296 for c_v.weight. The new audit is informative but falsifies the intended follow-up rather than supporting it: Int8 current-path keep audit reported candidates:45 and focused_tensors:9 as expected, but selected:none with selected_rank:9, so the best .attn.proj.weight tensor failed the explicit max_global_rank:3 gate despite positive focused_improved:9, focused_mean_gain:0.14651825, and focused_best_gain:0.16935260. Because this patch is audit-only, keeping it would require either a frontier metric win or clearly worthwhile retained evidence for a next live change. It delivered neither.
46	2026-03-20T16:12:31+00:00	gpt-5.4	pgolf_0046	revert	cff1b7e8010bd5f91019f82b926aae9ba2b062f4	Revert: pgolf_0046 is internally consistent and the new fp32-selected-auto-keep path fired exactly as intended, but the live change regresses the best prior kept result from pgolf_0042 on both exact round-trip metrics while using substantially more of the size budget, so it is not a real improvement worth keeping.	The artifacts line up cleanly: the remote log ran commit cff1b7e8010bd5f91019f82b926aae9ba2b062f4 with the manifest env, metrics.json matches the final exact metric line and size exactly, and the established live-path signals stayed pinned as expected with Int8 auto-keep selector candidates:19 selected:blocks.0.mlp.proj.weight, Int8 scale storage fp32_tensors:8 fp32_bytes:16384, Int8 min-clip override tensors:9 baseline:1.00000 overrides:.mlp.fc.weight:0.25000, and Kept float storage extra_fp32_tensors:9 extra_fp32_extra_bytes:2359296 for c_v.weight. The new live signal also validated mechanically: Int8 auto-keep selected fp32 reported selected:blocks.0.mlp.proj.weight, selected_fp32_tensors:1, and selected_fp32_extra_bytes:1048576 exactly as predicted, and total submission size stayed under cap at 15410687 bytes with 589313 bytes remaining. But the primary outcome is clearly worse than the best prior kept pgolf_0042 result: val_bpb regressed from 1.58402850 to 1.58509943 and val_loss from 2.67456578 to 2.67637399, while size increased from 14437856 to 15410687 bytes. Training progress stayed in-family for an export-only run at step 357 / 600172ms versus step 358 / 600966ms in pgolf_0042, so there is no sign that extra optimization time explains the result; if anything, this is a straightforward non-improvement on the exact comparison we care about. This also weakens the practical value of pgolf_0044's positive fp16->fp32 audit for the selected tensor: the audit predicted a worthwhile live follow-up, but the actual live promotion produced a materially worse frontier metric, so the evidence should not be retained as a keep-worthy change.
47	2026-03-20T16:29:35+00:00	gpt-5.4	pgolf_0047	revert	8f788572da609d49d52980ae09e2f7979ad63e8c	Revert: pgolf_0047 is internally consistent and the selected-auto-keep fp32 promotion fired, but it regresses the best prior kept exact round-trip result from pgolf_0042 while consuming substantially more size budget, so it is not a real improvement worth keeping.	The artifacts line up cleanly: the remote log ran commit 8f788572da609d49d52980ae09e2f7979ad63e8c with the manifest env, metrics.json matches the final exact metric line and size exactly, and training progress stayed in-family for an export-only run at step 358 / 600694ms versus step 358 / 600966ms in kept pgolf_0042, so there is no sign of extra optimization time or harness drift driving the result. The established live-path signals stayed pinned as expected with Int8 auto-keep selector candidates:19 selected:blocks.0.mlp.proj.weight, Int8 scale storage fp32_tensors:8 fp32_bytes:16384, Int8 min-clip override tensors:9 baseline:1.00000 overrides:.mlp.fc.weight:0.25000, and Kept float storage extra_fp32_tensors:9 extra_fp32_extra_bytes:2359296 for c_v.weight. The new live signal also fired: Kept float storage reported selected_fp32_tensors:1, selected_fp32_extra_bytes:1048576, and selected_name:blocks.0.mlp.proj.weight, while total submission size remained under cap at 15424546 bytes with 575454 bytes remaining. But the primary outcome is worse than the best prior kept result: val_bpb regressed from 1.58402850 to 1.58435778 and val_loss from 2.67456578 to 2.67512175, while size increased from 14437856 to 15424546 bytes. That is a small but directionally wrong metric move paired with a large extra size cost, so this change does not clear the bar for retention. Relative to pgolf_0046, this rerun is slightly better numerically but still remains worse than pgolf_0042, so the extra evidence reduces noise concerns rather than rescuing the hypothesis.
48	2026-03-20T16:44:28+00:00	gpt-5.4	pgolf_0048	revert	bb85a7ef8fbe7a64ee6bbf630dd80eb0309fd12d	Revert: pgolf_0048 is internally consistent enough to score, but it does not improve on the best prior kept result and it also drifts from the expected pinned export signals, so it is not a trustworthy or worthwhile retained change.	The artifacts line up on the basics: the remote log ran commit bb85a7ef8fbe7a64ee6bbf630dd80eb0309fd12d with the manifest env, and metrics.json matches the final exact metric line and size exactly at val_bpb 1.58416454, val_loss 2.67479547, and 15201147 bytes. The new baseline-keep path did fire mechanically as intended, with Kept float baseline storage reporting extra_tensors:1, patterns:blocks.1.mlp.proj.weight, and extra_bytes_vs_quantized:522240, while the auto-keep selector still chose blocks.0.mlp.proj.weight from 19 candidates. But the outcome is still worse than kept pgolf_0042 on both primary metrics: val_bpb regressed from 1.58402850 to 1.58416454 and val_loss from 2.67456578 to 2.67479547, while size also increased from 14437856 to 15201147 bytes. More importantly for trustworthiness, one export-path signal that was expected to stay pinned drifted unexpectedly: Int8 scale storage reported fp32_tensors:7 and fp32_bytes:14336 here, versus the expected 8 and 16384 from pgolf_0042. That means this was not cleanly just an added live keep-float override on top of an otherwise unchanged stack. Training progress stayed broadly in-family for an export-only run at step 356 / 600197ms versus step 358 / 600966ms in pgolf_0042, so the regression is not rescued by a wallclock-comparison objection. Given the regression plus the unexplained scale-storage drift, this does not clear the bar for retention.
49	2026-03-20T16:44:55+00:00	gpt-5.4	pgolf_0049	infra_retry	b6e7ca9cede5ffa3a120d3824d93a1dfb1daba8a	infrastructure unavailable; retry scheduled	remote worker reported that CUDA is required
50	2026-03-20T16:45:18+00:00	gpt-5.4	pgolf_0050	infra_retry	d30f08325912f65df64214189892ab34c6d51b26	infrastructure unavailable; retry scheduled	remote worker reported that CUDA is required
51	2026-03-20T17:01:28+00:00	gpt-5.4	pgolf_0051	revert	054d08ca288fac17514669b83449affb909cfd4d	Revert: pgolf_0051 is internally consistent and the new named extra keep-float override fired exactly as intended, but the live change regresses the best prior kept exact round-trip result from pgolf_0042 on both primary metrics, so it is not a real improvement worth keeping.	The artifacts line up cleanly: the remote log ran commit 054d08ca288fac17514669b83449affb909cfd4d with the manifest env, metrics.json matches the final exact metric line and size exactly at val_bpb 1.58699288, val_loss 2.67957101, and 14798172 bytes, and training progress stayed in-family for an export-only comparison at step 354 / 600822ms versus step 358 / 600966ms in kept pgolf_0042, so there is no sign of a harness mismatch or suspicious extra optimization time driving the result. The established live-path signals also remained pinned as required, with Int8 auto-keep selector still reporting candidates:19 and selected:blocks.0.mlp.proj.weight, Int8 scale storage still reporting fp32_tensors:8 and fp32_bytes:16384, Int8 min-clip override still reporting tensors:9 baseline:1.00000 overrides:.mlp.fc.weight:0.25000, and Kept float storage still reporting extra_fp32_tensors:9 and extra_fp32_extra_bytes:2359296 for c_v.weight. The new mechanism also validated mechanically: Int8 extra keep-float reported exactly tensors:1 extra_bytes:261120 patterns:blocks.0.attn.proj.weight, matching the candidate hypothesis and confirming that only the intended tensor was added to the keep-float path. But the main outcome is clearly worse than the best prior kept result in reviews.tsv for pgolf_0042, which held val_bpb 1.58402850 and val_loss 2.67456578 at 14437856 bytes. This run regressed by 0.00296438 val_bpb and 0.00500523 val_loss while also increasing size by 360316 bytes. That is not noise-scale in this setting, and because the run otherwise looks trustworthy, the most likely conclusion is simply that this extra keep-float override does not help the exact metric frontier. The candidate manifest explicitly said to falsify on flat-or-worse exact metrics versus pgolf_0042, so this should be reverted rather than retained as a worthwhile change.
